sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,label
100,100,100,100,100,100,100,100,100,100,74,52,40,34,32,30,30,30,32,34,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,100,100,100,82,56,44,38,34,32,32,32,34,38,36,32,28,26,26,26,28,32,36,46,66,100,0
34,42,60,100,100,100,100,100,100,100,100,100,100,100,88,60,48,40,36,34,34,34,36,40,34,28,26,24,24,24,26,28,0
20,22,22,24,30,36,52,100,100,100,100,100,100,100,100,100,100,100,88,60,48,40,36,34,34,34,36,36,30,24,22,22,0
18,18,20,22,24,32,46,88,100,100,100,100,100,100,100,100,100,100,88,60,48,40,36,34,34,34,36,32,24,22,20,18,1
100,100,100,100,100,100,100,100,100,100,88,60,48,40,36,34,34,34,36,26,20,18,16,16,14,16,16,18,20,26,38,72,1
100,100,96,66,52,44,40,38,38,38,38,26,20,18,16,16,14,16,16,18,20,26,38,72,100,100,100,100,100,100,100,100,1
100,100,96,66,52,44,40,38,38,38,40,32,24,22,20,18,18,18,20,22,24,32,46,88,100,100,100,100,100,100,100,100,0
100,100,96,66,52,44,40,38,38,38,40,36,30,24,22,22,20,22,22,24,30,36,52,100,100,100,100,100,100,100,100,100,0
100,100,96,66,52,44,40,38,38,38,40,42,34,28,26,24,24,24,26,28,34,42,60,100,100,100,100,100,100,100,100,100,0
100,100,96,66,52,44,40,38,38,38,40,44,38,32,30,28,26,28,30,32,38,48,68,100,100,100,100,100,100,100,100,100,0
100,100,96,66,52,44,40,38,38,38,40,44,42,36,32,30,30,30,32,36,42,52,76,100,100,100,100,100,100,100,100,100,0
100,100,96,66,52,44,40,38,38,38,40,44,46,40,36,34,32,34,36,40,46,58,84,100,100,100,100,100,98,100,100,100,0
100,100,96,66,52,44,40,38,38,38,40,44,50,42,38,36,36,36,38,42,50,64,92,100,100,100,100,100,94,100,100,100,0
100,80,60,48,42,38,36,36,38,40,46,52,44,40,40,38,40,44,48,58,76,100,100,100,100,100,100,100,100,100,100,100,0
100,80,58,46,40,38,36,36,36,40,44,54,48,44,42,42,44,46,52,62,82,100,100,100,100,100,98,100,100,100,100,100,0
100,78,56,46,40,36,36,34,36,38,44,52,52,48,44,44,46,50,56,68,88,100,100,100,100,100,94,100,100,100,100,100,0
100,76,56,44,40,36,34,34,36,38,42,52,54,50,48,48,50,52,60,72,94,100,100,100,100,100,88,100,100,100,100,100,0
100,74,54,44,38,36,34,34,34,36,42,50,58,54,50,50,52,56,64,76,100,100,100,100,100,100,86,100,100,100,100,100,0
100,72,52,42,38,34,32,32,34,36,40,48,62,56,54,54,56,60,66,80,100,100,100,100,100,100,88,100,100,100,100,100,0
100,70,52,42,36,34,32,32,32,36,40,48,62,60,56,56,58,62,70,84,100,100,100,100,100,100,88,100,100,100,100,100,0
100,68,50,40,36,32,32,30,32,34,38,46,60,62,60,60,62,66,74,90,100,100,100,100,100,96,90,100,100,100,100,100,0
100,66,48,40,34,32,30,30,32,34,38,46,60,66,62,62,64,68,78,94,100,100,100,100,100,90,90,100,100,100,100,100,0
100,66,48,38,34,30,30,30,30,32,36,44,58,68,66,64,68,72,82,98,100,100,100,100,100,82,92,100,100,100,100,100,0
38,32,30,28,28,28,30,32,38,48,70,68,66,68,72,80,94,100,100,100,100,100,90,90,100,100,100,100,100,100,70,48,0
24,24,26,28,34,42,62,68,66,68,72,80,94,100,100,100,100,100,90,94,100,100,100,100,100,100,62,42,34,28,26,24,0
22,22,22,26,30,38,54,68,66,68,72,80,94,100,100,100,100,100,90,96,100,100,100,100,100,100,54,38,30,26,22,22,0
26,22,20,20,20,20,20,22,26,34,48,70,70,70,74,82,98,100,100,100,100,100,90,100,100,100,100,100,100,94,48,34,0
24,20,18,18,16,18,18,20,24,30,42,72,72,72,78,86,100,100,100,100,100,100,92,100,100,100,100,100,100,82,42,30,1
20,26,38,72,74,74,80,88,100,100,100,100,100,100,94,100,100,100,100,100,100,72,38,26,20,18,16,16,14,16,16,18,1
76,80,92,100,100,100,100,100,100,100,100,100,100,100,100,100,44,26,20,16,14,12,12,12,12,14,14,18,22,36,74,72,1
100,100,100,100,100,100,100,100,46,28,20,16,14,14,12,12,14,14,16,18,24,38,70,70,72,78,88,100,100,100,100,100,1
58,34,26,20,18,16,16,16,16,18,20,24,30,46,72,70,72,78,88,100,100,100,100,100,100,96,100,100,100,100,100,100,1
16,16,18,22,28,44,74,74,76,82,92,100,100,100,100,100,100,98,100,100,100,100,100,100,54,32,24,20,18,16,14,14,1
76,80,92,100,100,100,100,100,100,100,100,100,100,100,100,100,44,26,20,16,14,12,12,12,12,14,14,18,22,36,74,72,1
100,100,100,100,100,100,100,100,46,28,20,16,14,14,12,12,14,14,16,18,24,38,70,70,72,78,88,100,100,100,100,100,1
58,34,26,20,18,16,16,16,16,18,20,24,30,46,72,70,72,78,88,100,100,100,100,100,100,96,100,100,100,100,100,100,1
16,16,18,22,28,44,74,74,76,82,92,100,100,100,100,100,100,98,100,100,100,100,100,100,54,32,24,20,18,16,14,14,1
76,80,92,100,100,100,100,100,100,100,100,100,100,100,100,100,44,26,20,16,14,12,12,12,12,14,14,18,22,36,74,72,1
100,100,100,100,100,100,100,100,46,28,20,16,14,14,12,12,14,14,16,18,24,38,70,70,72,78,88,100,100,100,100,100,1
58,34,26,20,18,16,16,16,16,18,20,24,30,46,72,70,72,78,88,100,100,100,100,100,100,96,100,100,100,100,100,100,1
16,16,18,22,28,44,74,74,76,82,92,100,100,100,100,100,100,98,100,100,100,100,100,100,54,32,24,20,18,16,14,14,1
76,80,92,100,100,100,100,100,100,100,100,100,100,100,100,100,44,26,20,16,14,12,12,12,12,14,14,18,22,36,74,72,1
100,100,100,100,100,100,100,100,46,28,20,16,14,14,12,12,14,14,16,18,24,38,70,70,72,78,88,100,100,100,100,100,1
100,76,40,28,22,18,16,16,16,16,16,18,22,28,40,72,70,72,76,84,98,100,100,100,100,100,94,100,100,100,100,100,1
16,16,16,18,22,28,40,74,72,74,78,88,100,100,100,100,100,100,94,100,100,100,100,100,100,76,40,28,22,18,16,16,1
72,74,78,88,100,100,100,100,100,100,96,100,100,100,100,100,100,62,32,22,18,16,14,12,12,12,14,16,18,22,32,62,1
100,100,96,100,100,100,100,100,100,62,32,22,18,16,14,12,12,12,14,16,18,22,32,62,70,72,76,84,98,100,100,100,1
100,76,40,28,22,18,16,16,16,16,16,18,22,28,40,72,70,72,76,84,98,100,100,100,100,100,94,100,100,100,100,100,1
16,16,16,18,22,28,40,74,72,74,78,88,100,100,100,100,100,100,94,100,100,100,100,100,100,76,40,28,22,18,16,16,1
74,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,46,28,20,16,14,14,12,12,14,14,16,18,24,38,72,72,1
100,100,100,100,100,100,100,42,28,22,18,16,14,14,14,16,16,18,22,32,52,70,70,74,80,92,100,100,100,100,100,100,1
98,100,100,100,100,100,100,50,32,26,22,18,18,16,18,18,20,22,28,38,62,70,72,74,82,94,100,100,100,100,100,94,0
100,100,100,54,34,26,22,20,18,18,18,18,20,24,28,38,66,74,74,78,84,98,100,100,100,100,100,88,98,100,100,100,0
100,100,100,56,36,28,24,20,20,18,18,20,22,24,30,40,68,76,78,80,88,100,100,100,100,100,100,88,96,100,100,100,0
100,100,100,58,38,28,24,22,20,20,20,20,22,26,32,42,72,80,80,84,92,100,100,100,100,100,100,88,96,100,100,100,0
100,100,100,60,40,30,26,22,20,20,20,22,24,26,32,44,74,82,84,86,94,100,100,100,100,100,100,86,94,100,100,100,0
100,100,100,62,40,32,26,24,22,20,22,22,24,28,34,46,78,86,86,90,98,100,100,100,100,100,100,86,94,100,100,100,0
100,100,100,66,42,32,26,24,22,22,22,22,24,28,34,48,80,88,88,94,100,100,100,100,100,100,100,84,92,100,100,100,0
100,100,100,68,44,34,28,24,24,22,22,24,26,30,36,50,84,92,92,96,100,100,100,100,100,100,80,84,92,100,100,100,0
100,100,100,100,90,52,38,32,28,26,24,24,24,26,30,36,46,72,94,94,96,100,100,100,100,100,100,100,80,86,100,100,0
78,84,100,100,100,100,100,100,100,60,44,36,30,28,28,26,28,30,34,40,52,82,96,94,98,100,100,100,100,100,100,100,0
74,80,90,100,100,100,100,100,100,66,48,40,34,32,30,30,30,32,38,44,58,90,96,96,98,100,100,100,100,100,100,90,0
72,78,88,100,100,100,100,100,100,72,52,44,38,34,32,32,34,36,40,48,64,100,96,96,100,100,100,100,100,100,100,78,0
68,74,84,100,100,100,100,100,100,78,58,46,40,38,36,36,36,40,44,54,70,100,98,96,100,100,100,100,100,100,100,66,0
66,70,80,100,100,100,100,100,100,86,62,50,44,40,38,38,40,42,48,58,76,100,98,98,100,100,100,100,100,100,100,64,0
62,68,76,100,100,100,100,100,100,92,68,54,48,44,42,42,42,46,52,62,82,100,100,98,100,100,100,100,100,100,100,60,0
60,64,72,100,100,100,100,100,100,98,72,58,50,46,44,44,46,50,56,66,88,100,100,100,100,100,100,100,100,100,100,58,0
100,56,60,66,100,100,100,100,100,100,100,84,66,56,50,48,48,48,50,56,66,84,100,100,100,100,100,100,100,100,100,100,0
100,100,100,100,100,54,56,64,74,100,100,100,100,100,100,88,70,60,54,50,50,50,54,60,70,88,100,98,96,98,100,100,0
100,100,100,100,100,52,54,60,72,100,100,100,100,100,100,92,72,62,56,52,52,52,56,62,72,92,100,96,94,96,100,100,0
100,100,100,100,100,50,52,58,68,100,100,100,100,100,100,96,76,64,58,54,54,54,58,64,76,96,100,94,92,94,100,100,0
100,100,100,100,100,54,50,56,66,100,100,100,100,100,100,100,78,66,60,56,56,56,60,66,78,100,98,92,90,92,98,100,0
100,100,100,100,100,66,48,52,62,100,100,100,100,100,100,100,82,70,62,58,58,58,62,70,82,100,96,90,88,90,96,100,0
100,100,100,100,100,76,46,50,60,74,100,100,100,100,100,100,84,72,64,62,60,62,64,72,84,100,94,88,86,88,94,100,0
100,100,100,100,100,86,44,48,56,72,100,100,100,100,100,100,88,74,68,64,62,64,68,74,88,100,92,86,84,86,92,100,0
100,100,100,100,100,98,50,46,54,68,100,100,100,100,100,100,90,76,70,66,64,66,70,76,90,98,88,84,82,84,88,98,0
100,100,100,100,100,100,56,42,50,64,100,100,100,100,100,100,94,80,72,68,66,68,72,80,94,96,86,82,80,82,86,96,0
100,100,100,68,44,44,54,72,100,100,100,100,100,100,86,76,72,70,70,72,80,92,100,88,82,80,80,84,92,100,100,100,0
100,100,100,72,46,40,48,66,100,100,100,100,100,100,90,80,74,72,72,76,84,96,98,88,82,78,80,82,90,100,100,100,0
100,100,100,74,48,36,44,60,100,100,100,100,100,100,94,84,78,76,76,80,86,100,98,86,80,78,78,82,90,100,100,100,0
100,100,100,76,50,38,40,54,100,100,100,100,100,100,98,86,80,78,78,82,90,100,96,86,80,78,78,82,88,100,100,100,0
100,100,100,78,50,38,34,46,100,100,100,100,100,100,100,90,84,80,82,86,94,100,96,84,78,76,76,80,88,100,100,100,0
100,100,100,80,52,40,34,40,68,100,100,100,100,100,100,94,86,84,84,88,96,100,94,84,78,76,76,80,86,100,100,100,0
100,100,100,84,54,42,34,34,56,100,100,100,100,100,100,96,90,86,88,92,100,100,94,84,78,74,76,78,86,98,100,100,0
100,100,100,86,56,42,36,32,46,100,100,100,100,100,100,100,92,90,90,94,100,100,92,82,76,74,74,78,86,98,100,100,0
100,100,100,88,56,44,36,32,34,100,100,100,100,100,100,100,96,92,94,98,100,100,92,82,76,74,74,78,84,96,100,100,0
100,100,100,90,58,44,38,34,30,100,100,100,100,100,100,100,98,96,96,100,100,100,90,80,74,72,72,76,84,96,100,100,0
100,100,100,92,60,46,38,34,32,44,100,100,100,100,100,100,100,98,98,100,100,100,90,80,74,72,72,76,82,94,100,100,0
100,100,100,96,62,46,40,34,32,32,100,100,100,100,100,100,100,100,100,100,100,100,88,78,74,70,72,74,82,94,100,100,0
100,100,100,98,64,48,40,36,34,32,100,100,100,100,100,100,100,100,100,100,100,100,88,78,72,70,70,74,80,92,100,100,0
100,100,100,100,64,50,42,36,34,32,34,100,100,100,100,100,100,100,100,100,100,100,86,76,72,70,70,72,80,92,100,100,0
100,100,100,100,100,76,56,46,40,36,34,34,100,100,100,100,100,100,100,100,100,100,100,90,78,72,68,68,70,76,86,100,0
100,100,100,100,100,80,58,48,42,38,36,36,38,100,100,100,100,100,100,100,100,100,100,88,76,70,66,66,68,74,84,100,0
100,100,100,100,100,84,60,50,42,40,38,38,38,100,100,100,100,100,100,100,100,100,100,86,74,68,66,64,66,72,82,98,0
100,100,100,100,100,86,64,52,44,40,40,38,40,100,100,100,100,100,100,100,100,100,100,84,72,66,64,64,66,70,80,96,0
62,68,76,90,100,100,100,100,100,94,68,56,48,44,42,42,44,100,100,100,100,100,100,100,100,100,98,80,70,64,60,60,0
60,64,72,86,100,100,100,100,100,100,72,60,52,48,46,44,46,100,100,100,100,100,100,100,100,100,94,76,66,60,58,58,0
78,98,100,100,100,100,100,84,66,56,50,48,46,48,50,100,100,100,100,100,100,100,100,98,78,66,60,56,56,56,60,66,0
74,94,100,100,100,100,100,88,68,58,52,50,48,50,52,100,100,100,100,100,100,100,100,94,74,64,58,54,54,54,58,64,0
72,90,100,100,100,100,100,92,72,62,56,52,52,52,56,100,100,100,100,100,100,100,100,90,72,62,56,52,50,52,56,62,0
68,88,100,100,100,100,100,94,74,64,58,54,54,54,58,100,100,100,100,100,100,100,100,88,68,58,52,50,48,50,52,58,0
