sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,label
100,100,66,46,36,40,58,100,100,100,74,52,40,34,32,30,30,30,32,34,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,66,46,36,36,50,98,100,100,82,56,44,38,34,32,32,32,34,38,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,66,46,36,32,42,84,100,100,90,62,50,42,38,36,36,36,38,42,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,66,46,36,32,34,68,100,100,98,68,54,46,42,38,38,38,42,46,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,66,46,36,32,28,52,100,100,100,72,58,50,44,42,42,42,44,46,36,32,28,26,26,26,28,32,36,46,66,100,0
94,56,40,34,28,26,56,100,100,98,72,58,50,46,44,44,46,48,44,36,30,28,26,26,28,30,34,40,52,82,100,100,0
92,54,40,32,28,26,34,100,100,100,76,62,54,50,48,46,48,52,44,36,32,30,28,28,28,30,34,42,54,84,100,100,0
88,52,38,32,28,24,24,100,100,100,80,66,58,52,50,50,52,56,46,38,32,30,28,28,30,32,36,42,56,86,100,100,0
86,50,36,30,26,24,24,22,100,100,86,70,60,56,54,52,54,58,48,38,34,30,30,30,30,32,36,44,58,88,100,100,0
82,48,36,30,26,24,22,22,100,100,90,74,64,58,56,56,58,62,48,40,34,32,30,30,30,34,38,44,58,90,100,100,0
22,20,20,20,20,100,92,76,66,60,58,58,58,64,52,42,38,34,32,32,34,36,40,48,64,98,100,100,72,42,32,26,0
36,26,22,20,18,18,18,18,100,90,74,66,62,60,60,62,66,52,42,38,36,34,34,36,40,44,56,76,100,100,100,54,0
32,24,20,18,18,16,16,18,18,94,78,70,64,62,62,66,70,54,44,40,36,36,36,38,40,46,58,78,100,100,100,50,0
100,80,42,28,22,20,18,16,16,16,18,20,92,78,70,66,66,66,70,64,50,42,38,36,36,36,38,42,50,64,92,100,0
100,100,100,52,34,26,22,20,18,18,18,18,20,22,86,76,70,68,68,72,68,52,44,38,36,34,34,36,40,46,56,78,0
100,100,100,54,36,26,22,20,18,18,18,20,20,24,90,80,74,72,72,74,66,50,42,38,36,34,34,36,40,44,56,76,0
100,100,100,56,36,28,24,20,20,18,20,20,22,24,92,82,76,74,74,78,66,50,42,36,34,34,34,34,38,44,54,74,0
100,100,100,58,38,30,24,22,20,20,20,20,22,26,32,86,80,76,78,82,64,48,40,36,34,32,32,34,38,42,52,72,0
100,100,100,62,40,30,26,22,22,20,20,22,24,26,32,88,82,80,80,84,62,48,40,36,32,32,32,34,36,42,52,70,0
42,52,76,100,100,100,58,40,32,26,24,22,22,22,24,26,32,98,88,84,82,84,76,52,42,36,32,30,30,30,32,36,0
38,48,70,100,100,100,62,44,34,30,26,26,24,26,26,30,34,100,90,86,84,86,70,48,38,32,30,28,28,28,30,32,0
36,44,64,100,100,100,68,48,38,32,28,28,26,28,28,32,38,100,94,88,86,88,64,44,36,30,28,26,26,26,28,30,0
32,40,58,100,100,100,100,52,40,34,32,30,28,30,32,34,40,100,96,90,88,90,58,40,32,28,24,24,24,24,24,28,0
100,100,100,52,40,34,32,30,28,30,32,34,40,100,98,92,92,92,58,40,32,28,24,24,24,24,24,28,32,40,58,100,0
100,100,100,52,40,34,32,30,28,30,32,34,40,100,100,96,94,96,58,40,32,28,24,24,24,24,24,28,32,40,58,100,0
100,100,100,52,40,34,32,30,28,30,32,34,40,52,100,100,98,100,58,40,32,28,24,24,24,24,24,28,32,40,58,100,0
100,100,100,52,40,34,32,30,28,30,32,34,40,52,100,100,100,100,58,40,32,28,24,24,24,24,24,28,32,40,58,100,0
100,100,100,52,40,34,32,30,28,30,32,34,40,52,100,100,100,100,58,40,32,28,24,24,24,24,24,28,32,40,58,100,0
100,100,100,52,40,34,32,30,28,30,32,34,40,52,100,100,100,100,58,40,32,28,24,24,24,24,24,28,32,40,58,100,0
100,100,100,100,40,34,32,30,28,30,32,34,40,52,100,100,100,100,58,40,32,28,24,24,24,24,24,28,32,40,58,100,0
100,100,46,38,32,30,28,28,30,32,36,42,56,100,100,100,90,52,38,32,28,26,24,24,24,26,30,36,46,72,100,100,0
100,100,44,36,32,28,28,28,28,30,34,40,54,100,100,100,92,54,40,32,28,26,24,24,26,28,30,36,48,74,100,100,0
