sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,label
100,100,100,100,100,100,72,50,40,34,30,28,28,28,30,34,40,34,30,28,28,28,30,34,40,50,72,100,100,100,100,100,0
100,100,100,100,100,100,78,54,42,36,32,30,30,30,32,36,42,36,32,30,30,30,32,36,42,54,78,100,100,100,100,100,0
98,100,100,100,100,100,82,58,46,38,34,32,32,32,34,38,46,38,34,32,32,32,34,38,46,58,82,100,100,100,100,100,0
96,100,100,100,100,100,88,62,48,42,38,36,34,36,38,42,48,42,38,36,34,36,38,42,48,62,88,100,100,100,100,100,0
92,100,100,100,100,100,94,66,52,44,40,38,36,38,40,44,52,44,40,38,36,38,40,44,52,66,94,100,100,100,100,100,0
90,100,100,100,100,100,100,68,54,46,42,40,38,40,42,46,54,46,42,40,38,40,42,46,54,68,100,100,100,100,100,100,0
86,100,100,100,100,100,100,72,58,48,44,42,40,42,44,48,58,48,44,42,40,42,44,48,58,72,100,100,100,100,100,100,0
84,100,100,100,100,100,100,76,60,52,46,44,42,44,46,52,60,52,46,44,42,44,46,52,60,76,100,100,100,100,100,100,0
100,86,92,100,100,100,100,100,90,68,58,50,48,46,46,48,52,60,56,50,46,44,44,46,52,58,72,100,100,100,100,100,0
100,84,88,100,100,100,100,100,96,72,60,54,50,48,48,50,56,64,58,52,48,46,46,48,52,60,74,100,100,100,100,100,0
100,100,100,100,100,100,80,66,58,52,50,50,52,56,62,64,56,52,48,48,50,54,60,74,96,100,100,100,100,100,88,78,0
100,100,100,100,100,100,84,68,58,54,52,52,52,56,64,68,58,54,52,52,52,56,64,78,100,100,100,100,100,100,82,76,0
100,100,82,66,58,54,50,50,52,56,64,72,62,58,54,54,56,60,68,82,100,100,100,100,100,100,78,78,100,100,100,100,0
100,100,80,66,58,52,50,50,52,56,62,74,66,60,58,58,58,64,72,86,100,100,100,100,100,100,74,78,100,100,100,100,0
54,50,48,48,48,52,60,70,68,62,58,58,60,66,74,88,100,100,100,100,100,98,70,82,100,100,100,100,100,100,76,62,0
52,46,44,44,46,50,56,66,70,64,60,60,62,66,76,90,100,100,100,100,100,94,72,86,100,100,100,100,100,100,72,58,0
48,44,42,42,44,46,52,62,70,64,62,62,64,68,78,92,100,100,100,100,100,90,76,90,100,100,100,100,100,94,68,56,0
38,40,42,46,54,70,66,62,62,62,66,74,86,100,100,100,100,100,100,76,88,100,100,100,100,100,100,70,54,46,42,40,0
36,36,38,42,50,64,66,62,62,62,66,74,86,100,100,100,100,100,100,80,94,100,100,100,100,100,92,64,50,42,38,36,0
38,44,54,66,62,60,60,64,70,80,98,100,100,100,100,100,84,92,100,100,100,100,100,100,66,50,42,36,34,34,34,36,0
36,40,50,66,60,58,58,62,68,78,96,100,100,100,100,100,86,94,100,100,100,100,100,94,60,46,38,34,32,30,30,32,0
32,36,46,62,58,58,58,60,66,76,92,100,100,100,100,100,90,98,100,100,100,100,100,86,56,42,36,32,28,28,28,30,0
26,26,28,30,34,44,62,58,56,58,62,68,80,100,100,100,100,100,100,92,100,100,100,100,100,100,64,44,34,30,28,26,0
22,22,24,26,30,38,56,58,56,58,62,68,80,100,100,100,100,100,100,96,100,100,100,100,100,100,56,38,30,26,24,22,0
22,26,32,42,58,56,56,58,64,74,90,100,100,100,100,100,96,100,100,100,100,100,100,58,38,28,24,22,20,20,20,20,0
20,22,28,36,56,54,54,56,62,72,88,100,100,100,100,100,98,100,100,100,100,100,100,50,32,26,20,18,18,16,16,18,0
60,70,86,100,100,100,100,100,100,100,100,100,100,100,100,42,28,22,18,16,14,14,14,14,16,18,22,30,52,52,52,56,1
100,100,100,100,100,100,100,46,30,24,20,18,16,16,16,16,18,20,26,34,52,50,50,52,58,66,82,100,100,100,100,100,1
100,100,100,100,100,100,100,54,36,28,22,20,18,18,18,20,22,24,30,40,54,52,52,54,60,68,84,100,100,100,100,100,0
98,100,100,100,100,100,100,62,40,32,26,24,22,20,22,22,24,28,34,46,54,52,54,56,60,70,86,100,100,100,100,100,0
94,100,100,100,100,100,100,72,46,36,30,26,24,24,24,24,28,30,38,52,56,54,54,58,62,72,88,100,100,100,100,100,0
92,100,100,100,100,100,100,80,52,40,32,30,28,26,26,28,30,34,42,58,58,56,56,58,64,74,92,100,100,100,100,100,0
88,98,100,100,100,100,100,88,56,44,36,32,30,28,28,30,34,38,46,64,60,58,58,60,66,76,94,100,100,100,100,100,0
100,100,100,100,90,94,100,100,100,100,100,96,62,48,40,36,32,32,32,34,36,42,52,62,58,56,58,60,66,74,92,100,0
100,100,100,100,92,90,100,100,100,100,100,100,68,52,44,38,36,34,34,36,40,46,56,62,58,56,56,58,64,74,92,100,0
100,100,100,100,92,86,100,100,100,100,100,100,74,56,46,42,38,38,38,40,44,50,60,62,56,56,56,58,64,72,90,100,0
100,100,100,100,94,82,100,100,100,100,100,100,80,60,50,44,42,40,40,42,46,54,66,60,56,54,54,58,62,72,88,100,0
100,100,100,100,96,78,96,100,100,100,100,100,86,66,54,48,44,44,44,46,50,58,68,60,56,54,54,56,62,70,88,100,0
100,100,100,100,98,74,92,100,100,100,100,100,92,70,58,52,48,46,46,48,54,60,66,58,54,52,54,56,60,70,86,100,0
100,100,100,100,100,76,86,100,100,100,100,100,98,74,62,54,50,50,50,52,56,64,66,58,54,52,52,54,60,68,84,100,0
96,74,82,100,100,100,100,100,100,78,64,58,54,52,52,54,60,68,68,60,56,54,54,56,62,70,88,100,100,100,100,100,0
94,70,78,100,100,100,100,100,100,82,68,60,56,54,54,58,62,72,68,62,56,56,56,58,64,72,90,100,100,100,100,100,0
100,100,100,100,100,82,70,62,56,56,56,58,64,72,72,64,60,58,58,62,66,76,94,100,100,100,100,100,88,66,76,100,0
100,100,100,100,100,84,70,62,58,56,56,58,64,74,76,68,62,60,62,64,70,80,100,100,100,100,100,100,82,62,76,100,0
100,100,100,100,100,86,70,62,58,56,58,60,66,74,80,70,66,64,64,68,74,84,100,100,100,100,100,100,76,60,74,100,0
100,100,100,100,100,86,72,64,60,58,58,60,66,76,84,74,68,66,68,70,76,88,100,100,100,100,100,100,70,60,72,100,0
100,100,100,100,100,88,72,64,60,58,58,62,66,76,88,78,72,70,70,74,80,92,100,100,100,100,100,100,64,58,72,98,0
100,100,100,100,100,88,74,66,60,58,60,62,68,78,90,80,74,72,72,76,84,96,100,100,100,100,100,90,58,58,70,96,0
82,100,100,100,100,100,98,80,70,64,60,60,62,68,76,92,86,80,76,76,78,84,94,100,100,100,100,100,100,60,52,62,0
80,100,100,100,100,100,100,82,72,66,62,62,64,68,78,94,90,82,78,78,80,86,98,100,100,100,100,100,92,54,50,60,0
76,100,100,100,100,100,100,84,74,66,64,64,66,70,80,96,92,84,80,80,82,90,100,100,100,100,100,100,82,48,48,58,0
74,100,100,100,100,100,100,86,74,68,66,64,68,72,82,98,96,88,84,82,86,92,100,100,100,100,100,100,72,42,46,56,0
70,100,100,100,100,100,100,88,76,70,66,66,68,74,84,100,98,90,86,86,88,96,100,100,100,100,100,100,62,40,44,54,0
68,100,100,100,100,100,100,90,78,72,68,68,70,76,86,100,100,92,88,88,90,98,100,100,100,100,100,100,52,38,42,52,0
64,100,100,100,100,100,100,92,80,74,70,70,72,78,88,100,100,96,92,90,94,100,100,100,100,100,100,100,42,36,40,48,0
62,94,100,100,100,100,100,94,82,74,72,72,74,78,90,100,100,98,94,94,96,100,100,100,100,100,100,100,32,34,38,46,0
100,100,100,100,100,86,76,72,70,72,76,86,100,100,100,98,96,98,100,100,100,100,100,100,100,32,34,38,44,56,80,100,0
100,100,100,100,100,86,76,72,70,72,76,86,100,100,100,100,100,100,100,100,100,100,100,100,100,32,34,38,44,56,80,100,0
100,100,100,100,100,86,76,72,70,72,76,86,100,100,100,100,100,100,100,100,100,100,100,100,32,32,34,38,44,56,80,100,0
100,100,100,100,100,86,76,72,70,72,76,86,100,100,100,100,100,100,100,100,100,100,100,100,32,32,34,38,44,56,80,100,0
100,100,100,100,100,86,76,72,70,72,76,86,100,100,100,100,100,100,100,100,100,100,100,32,32,32,34,38,44,56,80,100,0
100,100,88,78,72,70,70,74,80,92,100,100,100,100,100,100,100,100,100,100,34,32,32,34,38,44,52,72,100,100,100,100,0
100,100,100,100,98,84,74,70,70,70,74,84,98,100,100,100,100,100,100,100,100,100,100,34,32,34,36,40,46,58,84,100,0
100,100,100,100,98,84,74,70,70,70,74,84,98,100,100,100,100,100,100,100,100,100,36,34,32,34,36,40,46,58,84,100,0
100,100,100,100,98,84,74,70,70,70,74,84,98,100,100,100,100,100,100,100,100,100,36,34,32,34,36,40,46,58,84,100,0
100,100,100,100,100,100,88,78,72,70,70,74,80,92,100,100,100,100,100,100,100,100,100,36,32,32,32,34,36,42,52,70,0
100,100,100,100,100,100,90,78,74,72,72,74,82,94,100,100,100,100,100,100,100,100,38,34,32,32,32,32,36,42,50,70,0
100,100,100,100,100,100,90,80,74,72,72,76,82,96,100,100,100,100,100,100,100,100,38,34,32,30,30,32,34,40,50,68,0
100,100,100,100,100,100,92,80,74,72,74,76,84,96,100,100,100,100,100,100,100,100,36,32,30,30,30,32,34,38,48,66,0
100,100,100,100,100,100,92,82,76,74,74,78,84,98,100,100,100,100,100,100,100,44,36,32,30,28,28,30,34,38,46,64,0
38,48,68,100,100,100,100,100,100,90,82,76,76,76,82,90,100,100,100,100,100,100,100,100,38,32,28,28,26,28,28,32,0
34,44,62,100,100,100,100,100,100,92,84,78,78,78,84,92,100,100,100,100,100,100,100,44,34,30,26,24,24,24,26,30,0
46,70,100,100,100,100,100,100,92,84,80,80,82,88,100,100,100,100,100,100,100,100,38,30,26,24,24,24,24,26,28,34,0
42,64,100,100,100,100,100,100,92,84,82,80,84,90,100,100,100,100,100,100,100,100,34,28,24,22,22,22,22,24,26,32,0
40,60,100,100,100,100,100,100,94,86,82,82,84,92,100,100,100,100,100,100,100,44,32,26,22,22,20,20,20,22,24,30,0
36,56,100,100,100,100,100,100,96,88,84,84,86,92,100,100,100,100,100,100,100,40,30,24,22,20,18,18,20,20,24,28,0
16,18,20,24,30,46,100,100,100,100,100,100,100,92,88,86,90,96,100,100,100,100,100,100,100,34,26,20,18,16,16,16,1
14,14,16,18,24,38,90,100,100,100,100,100,100,94,90,90,92,100,100,100,100,100,100,100,46,28,20,16,14,14,12,12,1
22,32,80,100,100,100,100,100,100,96,92,90,94,100,100,100,100,100,100,100,40,24,18,14,12,12,12,12,12,12,14,16,1
10,12,14,18,30,100,100,100,100,100,100,100,96,94,94,98,100,100,100,100,100,100,100,24,16,12,10,10,8,8,8,10,1
6,8,10,12,20,78,100,100,100,100,100,100,100,96,96,100,100,100,100,100,100,100,40,16,12,8,8,6,6,6,6,6,1
4,4,4,6,10,38,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,20,8,6,4,4,4,4,4,4,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,100,100,100,100,100,100,100,100,14,6,4,4,2,2,2,2,2,2,2,4,4,4,8,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,14,10,8,6,6,6,6,6,6,6,6,8,10,18,100,100,100,100,100,100,100,100,98,98,100,1
100,100,100,100,100,100,18,12,10,8,8,8,8,8,8,8,10,12,18,100,100,100,100,100,100,100,100,96,94,96,100,100,1
100,100,100,100,100,100,100,16,12,12,10,10,10,10,10,12,12,16,24,100,100,100,100,100,100,100,100,94,92,94,100,100,1
100,100,100,100,100,100,100,20,16,14,12,12,12,12,12,14,16,20,28,100,100,100,100,100,100,100,98,92,90,92,98,100,1
100,100,100,100,100,100,100,100,18,16,14,14,14,14,14,16,18,24,34,100,100,100,100,100,100,100,96,90,88,90,96,100,1
100,100,100,100,100,100,100,100,100,18,18,16,16,16,18,18,22,28,100,100,100,100,100,100,100,100,94,88,86,88,94,100,0
100,100,100,100,100,100,100,100,100,100,20,18,18,18,20,22,24,32,100,100,100,100,100,100,100,100,90,86,84,86,90,100,0
100,100,100,100,100,100,100,100,20,18,18,20,22,24,30,40,100,100,100,100,100,100,100,92,86,84,84,88,96,100,100,100,0
100,100,100,100,100,100,100,100,100,100,100,22,20,22,22,24,30,36,100,100,100,100,100,100,100,98,88,82,82,82,88,98,0
100,100,100,100,100,100,100,100,100,22,22,22,24,28,34,48,100,100,100,100,100,100,100,90,84,80,82,84,92,100,100,100,0
100,100,100,100,100,100,20,22,24,26,32,44,100,100,100,100,100,100,100,92,84,82,82,86,94,100,100,100,100,100,100,100,0
100,100,100,100,100,100,18,20,22,24,30,40,100,100,100,100,100,100,100,92,86,84,84,88,96,100,100,100,100,100,100,100,0
100,100,100,100,100,100,36,18,20,22,28,38,100,100,100,100,100,100,100,94,88,86,86,90,98,100,100,100,100,100,100,100,0
100,100,100,100,100,100,54,22,18,20,24,34,58,100,100,100,100,100,100,96,90,86,88,92,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,74,30,20,18,22,30,52,100,100,100,100,100,100,98,90,88,88,92,100,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,98,40,26,20,24,32,54,100,100,100,100,100,100,98,90,88,88,92,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,50,32,24,26,34,58,100,100,100,100,100,100,96,90,86,88,92,100,100,100,100,0
96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,54,34,26,30,40,68,100,100,100,100,100,100,94,86,84,84,88,0
94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58,38,28,34,46,100,100,100,100,100,100,100,90,84,82,82,86,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,54,38,32,40,58,100,100,100,100,100,100,94,86,80,80,80,86,94,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,42,36,44,64,100,100,100,100,100,100,92,84,78,76,78,84,92,0
76,82,94,100,100,100,100,100,100,100,100,100,100,100,100,100,92,54,40,42,54,100,100,100,100,100,100,98,86,78,74,74,0
74,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,94,56,40,46,60,100,100,100,100,100,100,94,82,76,72,72,0
70,76,86,100,100,100,100,100,100,100,100,100,100,100,100,100,98,58,42,50,66,100,100,100,100,100,100,90,78,72,68,68,0
68,72,82,98,100,100,100,100,100,100,100,100,100,100,100,100,100,60,46,56,72,100,100,100,100,100,100,86,76,68,66,66,0
64,70,78,94,100,100,100,100,100,100,100,100,100,100,100,100,100,62,50,60,78,100,100,100,100,100,100,82,72,66,62,62,0
62,66,74,90,100,100,100,100,100,100,100,100,100,100,100,100,100,62,54,64,84,100,100,100,100,100,98,78,68,62,60,60,0
80,100,100,100,100,100,100,100,100,100,100,100,100,100,78,54,62,80,100,100,100,100,100,100,80,68,62,58,58,58,62,68,0
78,98,100,100,100,100,100,100,100,100,100,100,100,100,84,58,66,84,100,100,100,100,100,98,78,66,60,56,56,56,60,66,0
74,94,100,100,100,100,100,100,100,100,100,100,100,100,90,62,68,88,100,100,100,100,100,94,74,64,58,54,54,54,58,64,0
72,92,100,100,100,100,100,100,100,100,100,100,100,100,94,66,72,90,100,100,100,100,100,92,72,62,56,52,52,52,56,62,0
68,88,100,100,100,100,100,100,100,100,100,100,100,100,100,70,74,94,100,100,100,100,100,88,68,58,52,50,48,50,52,58,0
66,84,100,100,100,100,100,100,100,100,100,100,100,100,100,74,78,98,100,100,100,100,100,84,66,56,50,48,46,48,50,56,0
62,80,100,100,100,100,100,100,100,100,100,100,100,100,100,76,80,100,100,100,100,100,100,80,62,54,48,46,44,46,48,54,0
100,100,100,100,100,100,100,100,100,100,100,100,92,76,94,100,100,100,100,100,86,66,56,48,46,44,44,46,50,58,72,98,0
100,100,100,100,100,100,100,100,100,100,100,100,96,78,96,100,100,100,100,100,86,64,54,48,44,44,44,46,50,58,70,96,0
100,100,100,100,100,100,100,100,100,100,84,88,100,100,100,100,100,98,72,58,50,46,44,44,46,48,56,66,86,100,100,100,0
100,100,100,100,100,100,100,96,78,100,100,100,100,100,100,82,64,56,50,46,46,46,50,56,64,82,100,100,100,100,100,100,0
100,100,100,100,100,100,90,80,100,100,100,100,100,100,80,64,56,52,50,48,50,54,62,74,96,100,100,100,100,100,100,100,0
100,100,100,100,100,100,92,76,100,100,100,100,100,100,84,68,60,54,52,52,54,58,64,78,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,96,78,96,100,100,100,100,100,88,72,62,56,54,54,56,60,68,82,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,98,80,90,100,100,100,100,100,92,74,66,60,56,56,58,62,70,86,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,100,82,84,100,100,100,100,100,96,78,68,62,60,60,62,66,74,90,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,100,84,80,100,100,100,100,100,100,82,72,66,62,62,64,68,78,92,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,100,86,74,100,100,100,100,100,100,86,74,68,64,64,66,72,80,96,100,100,100,100,100,100,100,100,0
98,100,100,100,100,100,100,88,76,100,100,100,100,100,100,88,78,70,68,66,70,74,84,100,100,100,100,100,100,100,100,100,0
100,100,100,94,100,100,100,100,100,100,86,76,100,100,100,100,100,100,86,76,70,68,68,72,78,90,100,100,100,100,100,100,0
100,100,100,100,100,100,100,94,100,100,100,100,100,100,90,80,100,100,100,100,100,100,84,76,70,68,68,72,78,90,100,100,0
100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,98,86,100,100,100,100,100,100,88,76,70,66,66,68,74,82,100,0
100,100,100,100,100,100,100,100,100,92,100,100,100,100,100,100,88,100,100,100,100,100,100,86,74,68,66,64,66,72,82,98,0
88,100,100,100,100,100,100,100,100,100,96,100,100,100,100,100,100,94,100,100,100,100,100,100,88,74,68,64,62,64,68,74,0
100,100,100,100,100,100,100,100,100,96,100,100,100,100,100,100,94,100,100,100,100,100,100,80,70,64,62,62,64,68,76,92,0
60,64,72,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,100,100,100,100,100,94,76,66,62,58,58,0
58,62,70,84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,100,100,90,72,64,58,56,56,0
54,52,52,56,60,70,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,78,66,58,0
52,50,50,52,56,66,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,74,62,54,0
