sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,label
100,100,100,100,100,100,100,100,100,100,74,52,40,34,32,30,30,30,32,34,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,100,100,100,82,56,44,38,34,32,32,32,34,38,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,100,100,100,90,62,50,42,38,36,36,36,38,42,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,100,100,100,98,68,54,46,42,38,38,38,42,46,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,100,100,100,100,72,58,50,44,42,42,42,44,46,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,100,100,100,100,78,62,52,48,44,44,44,48,46,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,100,100,100,100,84,66,56,50,48,48,48,50,46,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,100,100,100,100,90,70,60,54,50,50,50,54,46,36,32,28,26,26,26,28,32,36,46,66,100,0
100,100,100,100,100,100,100,94,74,62,56,54,52,54,56,50,40,34,30,28,28,28,30,34,40,50,72,100,100,100,100,100,0
100,100,100,100,100,100,100,96,76,66,58,56,54,56,58,54,42,36,32,30,30,30,32,36,42,54,78,100,100,100,100,100,0
100,100,100,100,100,100,90,74,64,58,56,56,58,62,54,44,38,34,34,32,34,36,42,50,64,100,100,100,100,100,100,100,0
100,100,100,100,100,100,94,76,66,60,58,58,60,64,58,46,40,38,36,36,36,40,44,54,70,100,100,100,98,100,100,100,0
100,100,100,100,100,100,96,78,68,62,60,58,60,66,62,50,44,40,38,38,40,42,48,58,76,100,100,100,96,100,100,100,0
100,100,100,100,82,70,64,60,58,60,64,70,58,50,44,42,42,42,44,50,58,74,100,100,100,96,100,100,100,100,100,100,0
100,100,94,76,66,62,58,58,60,64,72,58,50,46,44,44,46,48,56,66,86,100,100,100,98,100,100,100,100,100,100,100,0
100,100,94,76,66,60,58,58,60,64,72,62,54,50,48,46,48,52,58,70,92,100,100,96,98,100,100,100,100,100,100,100,0
100,100,92,74,64,60,56,56,58,62,70,66,58,52,50,50,52,56,62,74,98,100,100,96,98,100,100,100,100,100,100,100,0
100,100,90,74,64,58,56,56,58,62,70,70,60,56,54,52,54,58,66,80,100,100,100,96,100,100,100,100,100,100,100,100,0
100,100,90,72,64,58,56,54,56,62,68,74,64,58,56,56,58,62,70,84,100,100,100,98,100,100,100,100,100,100,100,100,0
100,100,88,72,62,58,54,54,56,60,68,78,68,62,58,58,60,66,74,88,100,100,100,98,100,100,100,100,100,100,100,100,0
100,100,86,70,62,56,54,54,56,60,66,80,70,64,62,62,64,68,78,92,100,100,100,98,100,100,100,100,100,100,100,100,0
100,100,86,70,60,56,52,52,54,58,66,80,74,68,64,64,66,72,80,96,100,100,100,100,100,100,100,100,100,100,100,100,0
100,100,84,68,60,54,52,52,54,58,64,78,78,70,68,68,70,74,84,100,100,100,100,100,100,100,100,100,100,100,100,100,0
100,100,100,92,72,62,56,52,52,52,56,62,72,84,76,72,70,72,76,84,98,100,100,100,100,100,100,100,100,100,100,100,0
100,100,100,92,72,62,56,52,52,52,56,62,72,88,80,74,74,74,80,88,100,100,100,100,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,86,70,62,56,54,54,56,60,66,80,88,80,76,76,78,84,96,100,100,100,100,98,100,100,100,100,0
100,100,100,100,100,100,100,98,78,66,60,56,56,56,60,66,78,94,84,80,78,80,84,94,100,100,100,98,96,98,100,100,0
100,100,100,100,100,100,100,100,80,68,62,58,58,58,62,68,80,96,86,82,80,82,86,96,100,100,100,96,94,96,100,100,0
100,100,100,100,100,100,100,100,84,72,64,60,60,60,64,72,84,98,88,84,82,84,88,98,100,100,100,94,92,94,100,100,0
100,100,100,100,100,100,100,80,70,64,62,62,64,68,76,92,98,90,86,84,88,94,100,100,100,96,92,92,94,100,100,100,0
100,100,100,100,100,100,100,82,72,66,64,62,64,70,78,94,100,92,88,88,90,98,100,100,100,94,90,90,92,100,100,100,0
100,100,100,100,100,100,100,84,74,68,64,64,66,72,80,96,100,94,90,90,94,100,100,100,100,92,88,88,90,98,100,100,0
100,100,100,100,100,100,100,86,76,70,66,66,68,74,82,100,100,98,94,92,96,100,100,100,100,92,88,86,90,96,100,100,0
100,100,100,100,100,100,84,74,68,66,66,70,76,88,100,100,98,96,96,100,100,100,100,96,88,86,86,90,98,100,100,100,0
100,100,100,100,100,100,84,74,70,68,68,70,78,90,100,100,100,98,100,100,100,100,100,94,88,86,86,90,98,100,100,100,0
100,100,100,100,100,100,100,92,80,72,70,68,72,76,86,100,100,100,100,100,100,100,100,100,96,88,84,84,86,92,100,100,0
84,90,100,100,100,100,100,100,100,100,100,94,82,76,72,72,74,80,90,100,100,100,100,100,100,100,100,100,92,84,82,80,0
100,100,100,100,100,100,100,100,100,88,80,76,74,76,80,88,100,100,100,100,100,100,100,100,100,94,84,80,78,80,84,94,0
76,76,82,90,100,100,100,100,100,100,100,100,100,92,82,78,76,78,82,92,100,100,100,100,100,100,100,100,100,90,82,76,0
100,100,100,100,100,100,100,100,100,94,86,80,78,80,86,94,100,100,100,100,100,100,100,100,100,88,80,74,74,74,80,88,0
100,100,100,100,100,100,100,100,100,98,88,82,80,82,88,98,100,100,100,100,100,100,100,100,100,86,76,72,72,72,76,86,0
98,100,100,100,100,100,100,100,100,100,90,84,84,84,90,100,100,100,100,100,100,100,100,100,100,82,74,70,68,70,74,82,0
94,100,100,100,100,100,100,100,100,100,92,86,86,86,92,100,100,100,100,100,100,100,100,100,100,80,72,68,66,68,72,80,0
92,100,100,100,100,100,100,100,100,100,94,88,88,88,94,100,100,100,100,100,100,100,100,100,100,78,70,66,64,66,70,78,0
88,100,100,100,100,100,100,100,100,100,96,92,90,92,96,100,100,100,100,100,100,100,100,100,88,76,68,64,62,64,68,76,0
86,100,100,100,100,100,100,100,100,100,98,94,92,94,98,100,100,100,100,100,100,100,100,100,86,72,66,62,60,62,66,72,0
82,100,100,100,100,100,100,100,100,100,100,96,94,96,100,100,100,100,100,100,100,100,100,100,82,70,64,60,58,60,64,70,0
80,100,100,100,100,100,100,100,100,100,100,98,96,98,100,100,100,100,100,100,100,100,100,100,80,68,60,58,56,58,60,68,0
76,96,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,76,64,58,56,54,56,58,64,0
74,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,74,62,56,52,52,52,56,62,0
70,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,70,60,54,50,50,50,54,60,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,70,60,54,50,50,50,54,60,70,88,100,100,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,70,60,54,50,50,50,54,60,70,88,100,100,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,70,60,54,50,50,50,54,60,70,88,100,100,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,70,60,54,50,50,50,54,60,70,88,100,100,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,70,60,54,50,50,50,54,60,70,88,100,100,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,70,60,54,50,50,50,54,60,70,88,100,100,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,74,62,56,52,52,52,56,62,74,92,100,100,100,100,100,100,0
100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,96,76,64,58,56,54,56,58,64,76,96,100,100,100,100,100,100,0
100,100,100,98,96,98,100,100,100,100,100,100,100,100,100,100,80,68,60,58,56,58,60,68,80,100,100,100,100,100,100,100,0
100,100,100,96,94,96,100,100,100,100,100,100,100,100,100,100,82,70,64,60,58,60,64,70,82,100,100,98,100,100,100,100,0
100,100,98,94,92,94,98,100,100,100,100,100,100,100,100,100,86,72,66,62,60,62,66,72,86,100,100,96,100,100,100,100,0
100,100,96,92,90,92,96,100,100,100,100,100,100,100,100,100,88,76,68,64,62,64,68,76,88,100,100,94,100,100,100,100,0
100,100,94,88,88,88,94,100,100,100,100,100,100,100,100,100,92,78,70,66,64,66,70,78,92,100,98,92,100,100,100,100,0
100,100,92,86,86,86,92,100,100,100,100,100,100,100,100,100,94,80,72,68,66,68,72,80,94,100,94,90,100,100,100,100,0
100,100,100,100,98,90,86,84,88,94,100,100,100,100,100,100,100,100,100,90,78,72,68,68,70,76,84,100,98,90,100,100,0
100,100,100,100,96,88,84,84,86,94,100,100,100,100,100,100,100,100,100,90,78,72,68,68,70,76,86,100,94,86,100,100,0
94,86,82,82,84,90,100,100,100,100,100,100,100,100,100,94,82,74,72,72,74,80,90,100,92,84,100,100,100,100,100,100,0
90,82,80,78,82,88,98,100,100,100,100,100,100,100,100,98,84,78,74,74,76,82,92,100,92,84,100,100,100,100,100,100,0
88,80,76,76,78,84,96,100,100,100,100,100,100,100,100,100,88,80,76,76,78,84,96,100,90,82,100,100,100,100,100,100,0
84,78,74,74,76,82,92,100,100,100,100,100,100,100,100,100,90,84,80,78,82,88,100,100,88,88,100,100,100,100,100,98,0
82,74,72,70,74,78,88,100,100,100,100,100,100,100,100,100,94,86,82,82,84,90,100,98,86,96,100,100,100,100,100,94,0
78,72,68,68,70,76,86,100,100,100,100,100,100,100,100,100,96,88,84,84,86,94,100,96,84,100,100,100,100,100,100,90,0
76,70,66,66,68,72,82,98,100,100,100,100,100,100,100,100,100,92,88,86,90,96,100,94,82,100,100,100,100,100,100,86,0
72,66,64,62,66,70,78,94,100,100,100,100,100,100,100,100,100,94,90,90,92,100,100,92,80,100,100,100,100,100,100,84,0
70,64,60,60,62,68,76,90,100,100,100,100,100,100,100,100,100,96,92,92,94,100,100,90,82,100,100,100,100,100,98,80,0
100,100,98,78,68,62,60,60,62,66,74,90,100,100,100,100,100,100,100,100,100,98,94,92,96,100,100,86,84,100,100,100,0
100,100,96,78,68,62,60,58,60,66,74,88,100,100,100,100,100,100,100,100,100,98,94,94,96,100,100,84,86,100,100,100,0
82,100,100,100,100,100,98,80,70,64,60,60,62,66,76,90,100,100,100,100,100,100,100,100,100,96,92,92,96,100,100,80,0
80,100,100,100,100,100,100,82,72,66,62,62,64,68,78,94,100,100,100,100,100,100,100,100,100,96,92,90,94,100,100,76,0
100,100,100,100,86,74,66,62,62,62,66,74,86,100,100,100,100,100,100,100,100,100,98,92,90,92,98,100,76,72,100,100,0
100,100,100,100,86,74,66,62,62,62,66,74,86,100,100,100,100,100,100,100,100,100,98,92,90,92,98,100,72,72,100,100,0
100,100,100,100,86,74,66,62,62,62,66,74,86,100,100,100,100,100,100,100,100,100,98,92,90,92,98,86,68,72,100,100,0
100,100,100,100,86,74,66,62,62,62,66,74,86,100,100,100,100,100,100,100,100,100,98,92,90,92,98,82,64,72,100,100,0
100,100,100,100,86,74,66,62,62,62,66,74,86,100,100,100,100,100,100,100,100,100,98,92,90,92,98,76,60,72,100,100,0
76,100,100,100,100,100,100,84,72,66,64,64,66,70,80,96,100,100,100,100,100,100,100,100,100,94,90,90,92,100,64,58,0
74,100,100,100,100,100,100,86,74,68,66,64,66,72,82,98,100,100,100,100,100,100,100,100,100,92,88,88,90,100,60,56,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,90,100,60,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,90,100,56,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,90,72,50,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,90,64,44,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,90,56,44,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,90,48,44,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,100,42,44,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,64,40,44,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,48,40,44,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,38,40,44,52,66,96,100,0
100,100,100,100,92,78,70,66,64,66,70,78,92,100,100,100,100,100,100,100,100,100,94,90,88,38,40,44,52,66,96,100,0
70,100,100,100,100,100,100,88,76,70,66,66,68,74,84,100,100,100,100,100,100,100,100,100,98,90,86,36,38,40,44,54,0
38,44,54,74,100,100,100,100,100,100,86,76,72,68,70,72,80,92,100,100,100,100,100,100,100,100,100,92,86,84,34,36,0
36,40,50,68,100,100,100,100,100,100,90,80,74,72,72,76,82,94,100,100,100,100,100,100,100,100,100,90,84,30,30,32,0
32,36,46,62,100,100,100,100,100,100,92,82,76,74,74,78,86,98,100,100,100,100,100,100,100,100,98,86,80,28,28,30,0
